Time,Channel A,Channel B
(ms),(V),(V)

6.20140135,3.93658300,-1.93365300
6.22188135,3.93658300,-1.93365300
6.24236135,3.93658300,-1.93365300
6.26284135,3.93658300,-1.93365300
6.28332135,3.89141500,-1.84331800
6.30380135,3.89141500,-1.84331800
6.32428135,3.89141500,-1.75298300
6.34476135,3.84609500,-1.75298300
6.36524135,3.84609500,-1.75298300
6.38572135,3.84609500,-1.66295400
6.40620135,3.84609500,-1.66295400
6.42668135,3.84609500,-1.66295400
6.44716135,3.80092800,-1.66295400
6.46764135,3.80092800,-1.57261900
6.48812135,3.80092800,-1.57261900
6.50860135,3.80092800,-1.57261900
6.52908135,3.80092800,-1.57261900
6.54956135,3.75560800,-1.48228400
6.57004135,3.75560800,-1.39225400
6.59052135,3.75560800,-1.39225400
6.61100135,3.71028800,-1.39225400
6.63148135,3.71028800,-1.39225400
6.65196135,3.71028800,-1.30192000
6.67244135,3.66512000,-1.30192000
6.69292135,3.71028800,-1.21189000
6.71340135,3.66512000,-1.21189000
6.73388135,3.66512000,-1.12155500
6.75436135,3.61980000,-1.12155500
6.77484135,3.61980000,-1.12155500
6.79532135,3.61980000,-0.94119080
6.81580135,3.61980000,-1.12155500
6.83628135,3.57463300,-1.03122000
6.85676135,3.57463300,-0.85085610
6.87724135,3.52931300,-0.85085610
6.89772135,3.52931300,-0.85085610
6.91820135,3.52931300,-0.85085610
6.93868135,3.52931300,-0.76052120
6.95916135,3.48414600,-0.67049160
6.97964135,3.48414600,-0.58015690
7.00012135,3.48414600,-0.58015690
7.02060135,3.43882600,-0.49012730
7.04108135,3.43882600,-0.49012730
7.06156135,3.43882600,-0.39979250
7.08204135,3.39350600,-0.39979250
7.10252135,3.39350600,-0.30945770
7.12300135,3.34833800,-0.30945770
7.14348135,3.34833800,-0.30945770
7.16396135,3.34833800,-0.21942810
7.18444135,3.34833800,-0.21942810
7.20492134,3.30301800,-0.21942810
7.22540134,3.25785100,-0.12909330
7.24588134,3.25785100,-0.12909330
7.26636134,3.25785100,-0.12909330
7.28684134,3.25785100,-0.12909330
7.30732134,3.21253100,-0.03875851
7.32780134,3.21253100,-0.03875851
7.34828134,3.21253100,0.05127110
7.36876134,3.16736300,0.05127110
7.38924134,3.16736300,0.05127110
7.40972134,3.16736300,0.05127110
7.43020134,3.07687600,0.05127110
7.45068134,3.07687600,0.14160590
7.47116134,3.07687600,0.14160590
7.49164134,3.07687600,0.23163550
7.51212134,3.07687600,0.23163550
7.53260134,3.03155600,0.23163550
7.55308134,3.03155600,0.32166510
7.57356134,2.98623600,0.32166510
7.59404134,2.98623600,0.41199990
7.61452134,2.98623600,0.41199990
7.63500134,2.94106900,0.41199990
7.65548134,2.94106900,0.50202950
7.67596134,2.89574900,0.59236430
7.69644134,2.89574900,0.59236430
7.71692134,2.85058100,0.68269910
7.73740134,2.85058100,0.68269910
7.75788134,2.80526100,0.77272870
7.77836134,2.80526100,0.77272870
7.79884134,2.80526100,0.86306350
7.81932134,2.76009400,0.86306350
7.83980134,2.76009400,0.95339820
